Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
24,E.Mobley o0.5 3pt M,GDAWG5000,110,0.5,E.Mobley,Cleveland Cavaliers,Los Angeles Clippers,0,1.05,0.55,0.3260869565217391,0,1.0,1,0.7,1
0,J.Brunson o37.5 Pts+Ast,kylemurray03,-125,1.88,J.Brunson,New York Knicks,Milwaukee Bucks,0,3.384,1.504,0.3888888888888889,0,0.6,1,0.4,0
12,G.Trent o20.5 Pts+Ast,kylemurray03,-115,1.06,G.Trent,Toronto Raptors,Washington Wizards,1,1.981739130434783,0.9217391304347826,0.1940298507462686,0,0.8,1,0.7,1
21,R.Westbrook o21.5 Pts+Rebs+Ast,GDAWG5000,-102,0.52,R.Westbrook,Los Angeles Clippers,Cleveland Cavaliers,1,1.0298039215686274,0.5098039215686274,0.3846153846153846,0,0.6,1,0.4,0
22,R.Westbrook o21.5 Pts+Rebs+Ast,JoeDellera,-102,1.02,R.Westbrook,Los Angeles Clippers,Cleveland Cavaliers,1,2.02,1.0,0.3846153846153846,0,0.6,1,0.4,0
1,J.Brunson o33.5 Pts+Rebs,GDAWG5000,-120,0.6,J.Brunson,New York Knicks,Milwaukee Bucks,0,1.1,0.5000000000000001,0.375,0,0.6,1,0.4,0
2,J.Brunson o33.5 Pts+Rebs,TheBMatt,-120,0.75,J.Brunson,New York Knicks,Milwaukee Bucks,0,1.375,0.625,0.375,0,0.6,1,0.4,0
3,J.Brunson o33.5 Pts+Rebs,JoeDellera,-120,1.5,J.Brunson,New York Knicks,Milwaukee Bucks,0,2.75,1.25,0.375,0,0.6,1,0.4,0
4,L.Waters u5.5 Rebs+Ast,SBK5065,-130,1.0,L.Waters,Oklahoma City Thunder,Charlotte Hornets,0,1.7692307692307692,0.7692307692307692,0.9411764705882352,1,0.8,1,0.9,1
9,R.Hachimura o5.5 Rebs+Ast,JoeDellera,100,1.0,R.Hachimura,Los Angeles Lakers,Minnesota Timberwolves,1,2.0,1.0,0.3846153846153846,0,0.6,1,0.7,1
13,V.Wembanyama o3.5 Blk,kylemurray03,-127,1.25,V.Wembanyama,San Antonio Spurs,Philadelphia 76ers,1,2.234251968503937,0.984251968503937,0.4558823529411764,0,0.4,0,0.4,0
11,C.Holmgren u9.5 Rebs,SBK5065,-135,0.68,C.Holmgren,Oklahoma City Thunder,Charlotte Hornets,0,1.1837037037037037,0.5037037037037037,0.6883116883116883,1,1.0,1,0.8,1
17,J.Smith u8.5 Rebs,SBK5065,-122,0.61,J.Smith,Houston Rockets,Dallas Mavericks,0,1.11,0.5000000000000001,0.5352112676056338,1,1.0,1,0.9,1
8,J.Embiid o29.5 Pts,the_degenerates,-118,1.18,J.Embiid,Philadelphia 76ers,San Antonio Spurs,0,2.18,0.9999999999999998,0.7837837837837838,1,0.4,0,0.7,1
12,L.Doncic o30.5 Pts,GDAWG5000,-115,0.58,L.Doncic,Dallas Mavericks,Houston Rockets,1,1.0843478260869563,0.5043478260869564,0.6417910447761194,1,0.2,0,0.3,0
13,L.Doncic o30.5 Pts,TheBMatt,-115,1.15,L.Doncic,Dallas Mavericks,Houston Rockets,1,2.1499999999999995,0.9999999999999996,0.6417910447761194,1,0.2,0,0.3,0
4,D.Booker o26.5 Pts,JoeDellera,-110,1.1,D.Booker,Phoenix Suns,New Orleans Pelicans,1,2.1,1.0,0.4761904761904761,0,0.4,0,0.5,0
6,D.Booker o26.5 Pts,GDAWG5000,-110,0.55,D.Booker,Phoenix Suns,New Orleans Pelicans,1,1.05,0.5,0.4761904761904761,0,0.4,0,0.5,0
7,D.Booker o26.5 Pts,TheBMatt,-110,1.1,D.Booker,Phoenix Suns,New Orleans Pelicans,1,2.1,1.0,0.4761904761904761,0,0.4,0,0.5,0
18,K.Irving o24.5 Pts,the_degenerates,-118,1.18,K.Irving,Dallas Mavericks,Houston Rockets,1,2.18,0.9999999999999998,0.5272727272727272,1,0.8,1,0.6,1
10,C.Paul o8.5 Ast,kylemurray03,-110,2.0,C.Paul,Golden State Warriors,Utah Jazz,1,3.8181818181818175,1.8181818181818183,0.3018867924528302,0,0.2,0,0.2,0
16,E.Mobley o3.5 Ast,GDAWG5000,105,0.5,E.Mobley,Cleveland Cavaliers,Los Angeles Clippers,0,1.025,0.5249999999999999,0.3695652173913043,0,0.4,0,0.6,1
18,E.Mobley o3.5 Ast,TheBMatt,108,1.0,E.Mobley,Cleveland Cavaliers,Los Angeles Clippers,0,2.08,1.08,0.3695652173913043,0,0.4,0,0.6,1
