,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,Correct,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
11,T.Haliburton o33.5 Pts+Rebs+Ast,JoeDellera,-125,0.8,1.4400000000000002,0,Indiana Pacers,T.Haliburton,Golden State Warriors,1,0.6400000000000001,Y,0.6666666666666666,1,0.8,1,0.6,1
12,T.Haliburton Yes Double-Double,PropBomb,-140,1.4,2.4,0,Indiana Pacers,T.Haliburton,Golden State Warriors,1,1.0,N,0.5925925925925926,1,0.4,0,0.5,0
13,A.Pokusevski o9.5 Pts,SBK5065,-110,0.55,1.05,0,Oklahoma City Thunder,A.Pokusevski,Miami Heat,1,0.5,N,0.56,1,0.4,0,0.5,0
14,J.Giddey u20.5 Pts+Ast,PropBetGuy,-110,1.1,2.1,0,Oklahoma City Thunder,J.Giddey,Miami Heat,1,1.0,N,0.6,1,0.4,0,0.6,1
15,D.Finney-Smith o1.5 3pt M,JoeDellera,-135,0.37,0.644074074074074,0,Dallas Mavericks,D.Finney-Smith,Cleveland Cavaliers,1,0.274074074074074,Y,0.5,0,0.6,1,0.5,0
16,D.Finney-Smith o2.5 3pt M,JoeDellera,260,0.15,0.54,0,Dallas Mavericks,D.Finney-Smith,Cleveland Cavaliers,1,0.39,N,0.21428571428571427,0,0.4,0,0.2,0
17,J.Allen o9.5 Rebs,SBK5065,-115,0.58,1.0843478260869563,0,Cleveland Cavaliers,J.Allen,Dallas Mavericks,0,0.5043478260869564,N,0.5909090909090909,1,0.4,0,0.5,0
18,L.Doncic o9.5 Ast,JoeDellera,175,0.15,0.4125,0,Dallas Mavericks,L.Doncic,Cleveland Cavaliers,1,0.2624999999999999,N,0.4230769230769231,0,0.4,0,0.5,0
19,L.Doncic o8.5 Ast,JoeDellera,120,1.0,2.2,0,Dallas Mavericks,L.Doncic,Cleveland Cavaliers,1,1.2000000000000002,N,0.5,0,0.4,0,0.6,1
20,K.Murray o1.5 3pt M,PropBomb,-136,1.0,1.7352941176470589,0,Sacramento Kings,K.Murray,Toronto Raptors,0,0.7352941176470589,Y,0.56,1,0.8,1,0.7,1
21,P.Siakam o25.5 Pts,PropBomb,-118,1.18,2.18,0,Toronto Raptors,P.Siakam,Sacramento Kings,1,1.0000000000000002,N,0.3333333333333333,0,0.4,0,0.3,0
22,D.Fox u5.5 Ast,SBK5065,-120,0.6,1.1,0,Sacramento Kings,D.Fox,Toronto Raptors,0,0.5000000000000001,N,0.5,0,0.8,1,0.7,1
23,R.Gobert u13.5 Rebs,SBK5065,-115,0.5,0.934782608695652,0,Minnesota Timberwolves,R.Gobert,Los Angeles Clippers,0,0.434782608695652,Y,0.6923076923076923,1,0.6,1,0.7,1
24,L.Kennard o1.5 3pt M,JoeDellera,-145,0.34,0.5744827586206898,0,Los Angeles Clippers,L.Kennard,Minnesota Timberwolves,1,0.2344827586206897,Y,0.6842105263157895,1,0.8,1,0.8,1
25,P.George u5.5 Ast,SBK5065,-130,0.65,1.15,0,Los Angeles Clippers,P.George,Minnesota Timberwolves,1,0.4999999999999999,N,0.6363636363636364,1,0.4,0,0.5,0
26,P.George o5.5 Rebs,JoeDellera,-145,0.34,0.5744827586206898,0,Los Angeles Clippers,P.George,Minnesota Timberwolves,1,0.2344827586206897,Y,0.6818181818181818,1,1.0,1,0.8,1
27,J.Randle o3.5 Ast,SBK5065,-134,0.5,0.8731343283582089,0,New York Knicks,J.Randle,Chicago Bulls,0,0.3731343283582089,Y,0.42857142857142855,0,0.6,1,0.6,1
28,J.Duren o15.5 Pts+Rebs,PropBomb,-125,1.0,1.8,0,Detroit Pistons,J.Duren,Charlotte Hornets,0,0.8,Y,0.4444444444444444,0,0.8,1,0.5,0
29,T.Rozier o33.5 Pts+Rebs+Ast,SBK5065,-110,0.55,1.05,0,Charlotte Hornets,T.Rozier,Detroit Pistons,1,0.5,N,0.55,1,0.8,1,0.7,1
30,T.Rozier o33.5 Pts+Rebs+Ast,PropBetGuy,-115,1.15,2.1499999999999995,0,Charlotte Hornets,T.Rozier,Detroit Pistons,1,0.9999999999999996,N,0.55,1,0.8,1,0.7,1
