Unnamed: 0,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,L.Walker o9.5 Pts,GarageGuyChase,-118,1.0,L.Walker,Brooklyn Nets,Miami Heat,0,1.847457627118644,0.847457627118644,0.9,1,0.8,1,0.9,1
1,J.Jaquez o8.5 Pts,the_degenerates,-120,1.0,J.Jaquez,Miami Heat,Brooklyn Nets,1,1.8333333333333333,0.8333333333333335,0.5454545454545454,1,1.0,1,0.6,1
2,D.Robinson u15.5 Pts,SBK5065,-125,0.63,D.Robinson,Miami Heat,Brooklyn Nets,1,1.134,0.5040000000000001,0.7272727272727273,1,0.6,1,0.7,1
3,L.Walker o9.5 Pts,cowhitchurch,-115,0.5,L.Walker,Brooklyn Nets,Miami Heat,0,0.934782608695652,0.4347826086956521,0.9,1,0.8,1,0.9,1
4,J.Jaquez o8.5 Pts,cowhitchurch,-140,0.5,J.Jaquez,Miami Heat,Brooklyn Nets,1,0.8571428571428572,0.3571428571428572,0.5454545454545454,1,1.0,1,0.6,1
5,L.Walker o9.5 Pts,TheBMatt,-120,0.5,L.Walker,Brooklyn Nets,Miami Heat,0,0.9166666666666669,0.4166666666666667,0.9,1,0.8,1,0.9,1
6,J.Jaquez o9.5 Pts,TheBMatt,-120,0.5,J.Jaquez,Miami Heat,Brooklyn Nets,1,0.9166666666666669,0.4166666666666667,0.3636363636363636,0,0.8,1,0.4,0
7,J.Butler u23.5 Pts,PropBomb,-119,1.19,J.Butler,Miami Heat,Brooklyn Nets,1,2.19,1.0,0.7777777777777778,1,0.6,1,0.7777777777777778,1
8,J.Jaquez o8.5 Pts,SBK5065,-120,0.5,J.Jaquez,Miami Heat,Brooklyn Nets,1,0.9166666666666669,0.4166666666666667,0.5454545454545454,1,1.0,1,0.6,1
9,L.Walker o9.5 Pts,SBK5065,-115,0.87,L.Walker,Brooklyn Nets,Miami Heat,0,1.6265217391304347,0.7565217391304347,0.9,1,0.8,1,0.9,1
0,J.Butler u5.5 Ast,SBK5065,-140,0.5,J.Butler,Miami Heat,Brooklyn Nets,1,0.8571428571428572,0.3571428571428572,0.8888888888888888,1,0.8,1,0.8888888888888888,1
1,D.Smith u3.5 Ast,Noto,115,1.0,D.Smith,Miami Heat,Brooklyn Nets,1,2.15,1.15,0.8571428571428571,1,0.8,1,0.8571428571428571,1
0,C.Johnson o4.5 Rebs,Noto,-140,1.4,C.Johnson,Brooklyn Nets,Miami Heat,0,2.4,1.0,1.0,1,1.0,1,1.0,1
1,A.Wiggins o4.5 Rebs,SportsBookBreakers,-132,0.76,A.Wiggins,Golden State Warriors,Oklahoma City Thunder,1,1.3357575757575757,0.5757575757575757,0.5833333333333334,1,0.8,1,0.6,1
