,Play,Expert,Team,Opponent,Hmcrt_adv,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct,Odds,Units,Payout,Profit,Name,Correct,Actual Value
0,G.Williams u3.5 Ast,kylemurray03,Charlotte Hornets,Minnesota Timberwolves,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-148.0,1.48,2.48,1.0,G.Williams,Y,1.0
1,M.Bridges u27.5 Pts+Rebs+Ast,kylemurray03,Charlotte Hornets,Minnesota Timberwolves,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,-115.0,1.15,2.1499999999999995,0.9999999999999996,M.Bridges,Y,1.0
2,L.Ball o5.5 Ast,charliedisturco,Charlotte Hornets,Minnesota Timberwolves,0.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-150.0,0.75,1.25,0.5,L.Ball,N,2.0
3,L.Ball o7.5 Ast,charliedisturco,Charlotte Hornets,Minnesota Timberwolves,0.0,0.1666666666666666,0,0.0,0,0.1666666666666666,0,220.0,0.5,1.6,1.1,L.Ball,N,2.0
4,R.Gobert o23.5 Pts+Rebs,Markus_Markets,Minnesota Timberwolves,Charlotte Hornets,1.0,0.5,0,0.4,0,0.5,0,-130.0,1.0,1.7692307692307692,0.7692307692307692,R.Gobert,N,16.0
5,C.Cunningham o37.5 Pts+Rebs+Ast,sandyplashkes,Detroit Pistons,Los Angeles Lakers,1.0,0.4285714285714285,0,0.2,0,0.4285714285714285,0,-106.0,1.06,2.06,1.0,C.Cunningham,N,16.0
6,T.Hardaway u2.5 Rebs,JoeDellera,Detroit Pistons,Los Angeles Lakers,1.0,0.8571428571428571,1,1.0,1,0.8571428571428571,1,-185.0,1.0,1.5405405405405406,0.5405405405405406,T.Hardaway,Y,0.0
7,C.Cunningham o37.5 Pts+Rebs+Ast,RoyalsProps,Detroit Pistons,Los Angeles Lakers,1.0,0.4285714285714285,0,0.2,0,0.4285714285714285,0,-110.0,1.65,3.15,1.5,C.Cunningham,Y,0.0
8,J.Morant o21.5 Pts,Markus_Markets,Memphis Grizzlies,Brooklyn Nets,0.0,0.5,0,0.4,0,0.5,0,-105.0,1.0,1.9523809523809523,0.9523809523809524,J.Morant,Y,25.0
9,J.Morant o21.5 Pts,JoeDellera,Memphis Grizzlies,Brooklyn Nets,0.0,0.5,0,0.4,0,0.5,0,-105.0,1.0,1.9523809523809523,0.9523809523809524,J.Morant,Y,25.0
10,J.Morant o20.5 Pts,kylemurray03,Memphis Grizzlies,Brooklyn Nets,0.0,0.5,0,0.4,0,0.5,0,-130.0,1.3,2.3,0.9999999999999998,J.Morant,Y,25.0
11,B.Adebayo o29.5 Pts+Rebs+Ast,sandyplashkes,Miami Heat,Sacramento Kings,1.0,0.2,0,0.2,0,0.2,0,-108.0,1.08,2.08,1.0,B.Adebayo,Y,25.0
12,K.Murray o14.5 Pts+Ast,Markus_Markets,Sacramento Kings,Miami Heat,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,-130.0,1.0,1.7692307692307692,0.7692307692307692,K.Murray,Y,15.0
13,K.Murray o13.5 Pts,JoeDellera,Sacramento Kings,Miami Heat,0.0,0.8333333333333334,1,0.8,1,0.8333333333333334,1,-105.0,1.0,1.9523809523809523,0.9523809523809524,K.Murray,Y,14.0
14,D.Ayton o26.5 Pts+Rebs,Mjaybrxd,Portland Trail Blazers,New Orleans Pelicans,0.0,0.4285714285714285,0,0.6,1,0.4285714285714285,0,-120.0,1.0,1.8333333333333333,0.8333333333333335,D.Ayton,Y,32.0
15,D.Ayton o15.5 Pts,RoyalsProps,Portland Trail Blazers,New Orleans Pelicans,0.0,0.2857142857142857,0,0.4,0,0.2857142857142857,0,-120.0,1.2,2.2,1.0000000000000002,D.Ayton,Y,19.0
16,Y.Missi o1.5 Blk,JoeDellera,New Orleans Pelicans,Portland Trail Blazers,1.0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,105.0,1.0,2.05,1.0499999999999998,Y.Missi,N,0.0
17,Y.Missi o1.5 Blk,kylemurray03,New Orleans Pelicans,Portland Trail Blazers,1.0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,100.0,1.0,2.0,1.0,Y.Missi,N,0.0
18,C.Braun o12.5 Pts,PropBetGuy,Denver Nuggets,Toronto Raptors,1.0,0.6666666666666666,1,0.6,1,0.6666666666666666,1,-125.0,1.25,2.25,1.0,C.Braun,Y,17.0
19,N.Jokic o11.5 Rebs,JoeDellera,Denver Nuggets,Toronto Raptors,1.0,0.5,0,0.4,0,0.5,0,-115.0,1.0,1.869565217391304,0.8695652173913042,N.Jokic,Y,14.0
20,N.Jokic o11.5 Rebs,kylemurray03,Denver Nuggets,Toronto Raptors,1.0,0.5,0,0.4,0,0.5,0,-110.0,1.1,2.1,1.0,N.Jokic,Y,14.0
21,J.Johnson u32.5 Pts+Rebs+Ast,sandyplashkes,Atlanta Hawks,Boston Celtics,1.0,0.5714285714285714,1,0.4,0,0.5714285714285714,1,-116.0,1.16,2.16,0.9999999999999998,J.Johnson,Y,14.0
