,Play,Expert,Odds,Units,Name,Teams,Opponent,Hmcrt_adv,Payout,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
8,J.Harden o16.5 Pts,gneiffer07,-122,1.0,J.Harden,Los Angeles Clippers,Indiana Pacers,0,1.819672131147541,0.819672131147541,0.45,0,0.4,0,0.6,1
11,B.Hield u14.5 Pts,SBK5065,-120,0.5,B.Hield,Indiana Pacers,Los Angeles Clippers,1,0.9166666666666669,0.4166666666666667,0.68,1,0.8,1,0.8,1
14,D.Mitchell u30.5 Pts,gneiffer07,-115,1.15,D.Mitchell,Cleveland Cavaliers,Houston Rockets,1,2.1499999999999995,0.9999999999999996,0.6666666666666666,1,0.8,1,0.7,1
15,A.Sengun o17.5 Pts,GoldBoys,-105,0.95,A.Sengun,Houston Rockets,Cleveland Cavaliers,0,1.8547619047619048,0.9047619047619048,0.6521739130434783,1,0.2,0,0.6,1
16,J.McDaniels o8.5 Pts,SBK5065,-120,0.5,J.McDaniels,Minnesota Timberwolves,Miami Heat,0,0.9166666666666669,0.4166666666666667,0.6428571428571429,1,0.6,1,0.7,1
21,D.Exum o8.5 Pts,SBK5065,-125,1.0,D.Exum,Dallas Mavericks,Denver Nuggets,0,1.8,0.8,0.3181818181818182,0,1.0,1,0.6,1
1,K.Leonard o27.8 Pts,gneiffer07,-102,1.0,K.Leonard,Los Angeles Clippers,Indiana Pacers,0,1.9803921568627447,0.9803921568627452,0.28,0,0.8,1,0.6,1
4,D.Exum u13.5 Pts,SBK5065,-105,1.0,D.Exum,Dallas Mavericks,Denver Nuggets,0,1.9523809523809523,0.9523809523809524,0.7727272727272727,1,0.0,0,0.5,0
