,name,team,opp,hmcrt_adv,mp,pts,ast,trb,stl,blk,fg3,ts_pct,efg_pct,fg3a_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,usg_pct,off_rtg,def_rtg,bpm
0,Tyrese Maxey,Philadelphia 76ers,Denver Nuggets,0,33.38,29,5,4,3,0,2,.625,.619,.286,3.3,11.0,7.0,27.6,4.5,0.0,30.2,139,119,13.8
1,Tobias Harris,Philadelphia 76ers,Denver Nuggets,0,28.24,16,2,5,0,0,2,.621,.583,.333,0.0,21.7,10.3,10.3,0.0,0.0,22.9,114,126,-2.3
2,De'Anthony Melton,Philadelphia 76ers,Denver Nuggets,0,25.49,7,2,2,1,0,0,.281,.250,.417,4.3,4.8,4.5,9.9,2.0,0.0,27.9,56,126,-20.6
3,P.J. Tucker,Philadelphia 76ers,Denver Nuggets,0,22.35,0,0,0,0,0,0,.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0,131,-11.3
4,Dewayne Dedmon,Philadelphia 76ers,Denver Nuggets,0,10.18,0,1,2,0,2,0,.000,.000,.000,0.0,23.9,11.4,10.8,0.0,17.6,8.5,32,114,-3.9
5,Georges Niang,Philadelphia 76ers,Denver Nuggets,0,23.15,8,0,4,0,0,2,.800,.800,.800,0.0,21.2,10.1,0.0,0.0,0.0,9.4,162,126,-1.0
6,Shake Milton,Philadelphia 76ers,Denver Nuggets,0,21.44,2,3,6,1,0,0,.127,.000,.429,15.4,17.0,16.2,15.4,2.3,0.0,19.9,60,122,-13.9
7,Jalen McDaniels,Philadelphia 76ers,Denver Nuggets,0,21.37,14,1,2,1,0,1,.829,.813,.125,5.2,5.7,5.4,7.5,2.3,0.0,19.1,150,125,6.5
8,Danuel House Jr.,Philadelphia 76ers,Denver Nuggets,0,17.08,8,1,1,1,0,1,.450,.438,.500,6.5,0.0,3.4,8.1,2.9,0.0,25.2,95,125,-4.1
9,Paul Reed,Philadelphia 76ers,Denver Nuggets,0,16.50,16,1,9,2,1,0,.962,1.000,.000,19.9,43.9,31.3,12.4,6.0,5.4,24.2,173,104,23.5
10,Furkan Korkmaz,Philadelphia 76ers,Denver Nuggets,0,7.08,6,1,1,1,0,0,1.042,1.000,.000,0.0,17.3,8.2,22.8,7.1,0.0,17.7,217,111,23.7
11,Montrezl Harrell,Philadelphia 76ers,Denver Nuggets,0,5.47,3,0,2,0,0,0,.521,.500,.500,19.3,21.3,20.2,0.0,0.0,0.0,21.8,125,126,-6.0
12,Jaden Springer,Philadelphia 76ers,Denver Nuggets,0,5.47,2,1,2,0,0,0,.532,.000,.000,0.0,42.6,20.2,19.3,0.0,0.0,14.2,140,121,2.2
13,Jamal Murray,Denver Nuggets,Philadelphia 76ers,1,35.46,19,7,5,2,0,3,.679,.679,.429,0.0,15.6,8.2,29.1,2.8,0.0,22.6,110,115,0.3
14,Nikola Jokić,Denver Nuggets,Philadelphia 76ers,1,34.58,25,12,17,0,2,0,.789,.727,.000,10.6,44.7,28.5,51.4,0.0,4.7,24.2,154,110,17.0
15,Kentavious Caldwell-Pope,Denver Nuggets,Philadelphia 76ers,1,31.42,5,2,1,1,1,1,.313,.313,.500,3.9,0.0,1.8,7.6,1.6,2.6,11.4,89,120,-7.9
16,Michael Porter Jr.,Denver Nuggets,Philadelphia 76ers,1,30.57,15,0,6,0,0,3,.536,.536,.500,4.0,18.0,11.3,0.0,0.0,0.0,21.8,99,120,-7.9
17,Aaron Gordon,Denver Nuggets,Philadelphia 76ers,1,24.18,12,2,4,2,1,0,.429,.429,.214,15.2,4.6,9.6,12.7,4.1,3.3,27.8,98,113,-4.6
18,Bruce Brown,Denver Nuggets,Philadelphia 76ers,1,29.01,18,5,4,1,0,2,.688,.600,.500,4.2,11.5,8.1,23.8,1.7,0.0,23.4,133,118,2.8
19,Jeff Green,Denver Nuggets,Philadelphia 76ers,1,23.42,8,3,2,1,0,0,.592,.400,.400,0.0,9.4,4.9,15.6,2.1,0.0,14.7,124,118,-1.7
20,Christian Braun,Denver Nuggets,Philadelphia 76ers,1,16.34,8,1,3,1,0,2,1.000,1.000,.750,7.4,13.5,10.6,8.4,3.0,0.0,10.9,190,115,8.9
21,Zeke Nnaji,Denver Nuggets,Philadelphia 76ers,1,13.02,6,2,0,0,0,0,.600,.600,.400,0.0,0.0,0.0,23.1,0.0,0.0,17.3,132,125,-2.7
22,Brook Lopez,Milwaukee Bucks,Detroit Pistons,0,34.31,24,2,14,1,2,0,.779,.727,.091,14.5,25.5,20.1,8.2,1.4,4.1,19.9,162,111,7.9
23,Jevon Carter,Milwaukee Bucks,Detroit Pistons,0,33.40,22,2,1,0,0,6,.733,.733,.533,3.0,0.0,1.5,8.5,0.0,0.0,18.7,154,126,3.2
24,Khris Middleton,Milwaukee Bucks,Detroit Pistons,0,33.23,34,5,8,0,0,1,.641,.587,.304,9.0,14.7,11.9,27.3,0.0,0.0,35.8,135,121,5.7
25,Bobby Portis,Milwaukee Bucks,Detroit Pistons,0,31.15,21,2,14,0,1,3,.666,.607,.500,9.6,34.5,22.2,9.0,0.0,2.3,21.2,153,113,7.0
26,Grayson Allen,Milwaukee Bucks,Detroit Pistons,0,29.56,7,7,2,1,0,2,.354,.333,.778,0.0,6.5,3.3,26.9,1.6,0.0,18.0,85,120,-8.8
