,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
0,3,3,11,11,11,11,T.Jones o13.5 Pts,SBK5065,-110,0.55,1.05,-7.1708,San Antonio Spurs,T.Jones,Houston Rockets,0.0,0.5,0.5116279069767442,1,1.0,1,0.8,1
1,4,4,12,12,12,12,C.McCollum o18.5 Pts,SBK5065,-120,0.6,1.1,-7.1708,New Orleans Pelicans,C.McCollum,Milwaukee Bucks,1.0,0.5000000000000001,0.6052631578947368,1,1.0,1,0.9,1
2,5,5,14,14,14,15,T.Bryant u16.5 Pts,JoeDellera,-105,0.3,0.5857142857142856,2.9694,Los Angeles Lakers,T.Bryant,Phoenix Suns,0.0,0.2857142857142856,0.6551724137931034,1,0.4,0,0.3,0
