,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Play,Expert,Odds,Units,Payout,Net Units Record,Teams,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
2,4.0,4,4,M.Brogdon u13.5 Pts,PropBomb,-130,1.0,1.7692307692307692,0,Boston Celtics,M.Brogdon,Miami Heat,0,0.7692307692307692,0.4615384615384615,0.0,0.8,1.0,0.6,1.0
4,6.0,6,6,J.Tatum o29.5 Pts,charliedisturco,-118,0.5,0.923728813559322,0,Boston Celtics,J.Tatum,Miami Heat,0,0.423728813559322,0.5833333333333334,1.0,0.8,1.0,0.6,1.0
5,7.0,7,7,C.Martin o11.5 Pts,GreenDotDaily,-163,0.61,0.9842331288343558,0,Miami Heat,C.Martin,Boston Celtics,1,0.3742331288343558,0.3880597014925373,0.0,0.6,1.0,0.4,0.0
7,9.0,9,9,J.Tatum o29.5 Pts,VegasRefund,-110,1.0,1.9090909090909087,0,Boston Celtics,J.Tatum,Miami Heat,0,0.9090909090909088,0.5833333333333334,1.0,0.8,1.0,0.6,1.0
8,10.0,10,10,C.Martin o11.5 Pts,PropBomb,-130,1.0,1.7692307692307692,0,Miami Heat,C.Martin,Boston Celtics,1,0.7692307692307692,0.3880597014925373,0.0,0.6,1.0,0.4,0.0
9,14.0,14,14,C.Martin o14.5 Pts,GDAWG5000,200,1.0,3.0,0,Miami Heat,C.Martin,Boston Celtics,1,2.0,0.2388059701492537,0.0,0.6,1.0,0.3,0.0
18,,18,18,C.Martin o14.5 Pts,GDAWG5000,185,0.5,1.425,0,Miami Heat,C.Martin,Boston Celtics,0,0.925,,,,,,
